id,user_id,achievement_id
eb2c3482-774b-4b6f-9b3f-0defd1b01506,6abaee05-fddc-4f96-bdcc-f72eccb15b9f,cdce9877-3bed-4647-8c5d-9fe3517447f8
10366a72-19c3-46ff-9d5a-6e2f9701b0da,6278296c-0247-4389-bb80-e9f96bad0c07,1d1a68bf-428a-4171-8e54-4a646d2c9b9f
a457f087-be58-4740-a3ca-372e1a164c19,c23edf50-2192-434b-b5de-594a5e58f33c,1e1abeb9-b66e-4a86-ac3e-ee2b4045b921
a201d20c-4c7d-45b7-99a3-b61bbfab4ff4,cc52694d-ed00-4590-8922-45b940f40f5c,bc2aee2c-e18e-4a6a-beca-6331b29b67b1
56522a81-5f6b-4f43-b591-65af7418f40c,cabbe0fa-f8a7-4c3a-9236-aaf30345ada6,1d1a68bf-428a-4171-8e54-4a646d2c9b9f
e2944d1b-4ef9-4c4b-a3ba-7e9e5216b50c,7ff26ea3-984b-4546-b69f-4a085fb5274a,cdce9877-3bed-4647-8c5d-9fe3517447f8
32351b38-4366-4300-a499-ed782625117d,ae8c4a48-5c9e-4b23-b812-b2ff62c454d5,559f089b-f8dc-48ef-befb-0415845f38e8
76a22538-d8ee-4f81-8084-72ce9adc6aeb,517dd7c6-8177-4ef8-a8fd-4c25282db7fa,559f089b-f8dc-48ef-befb-0415845f38e8
c04df53c-0e19-4289-af28-cd6007390af2,32beb94f-7706-48e8-a679-4b0411b2b118,1e1abeb9-b66e-4a86-ac3e-ee2b4045b921
29b3128b-dd39-4450-9669-5ee898867ac7,c36fe690-66e2-40a5-94d3-dfe8aa371814,cdce9877-3bed-4647-8c5d-9fe3517447f8
8257fd72-342b-437f-9bd3-f558f6269921,e4a429d8-171e-45bf-b237-600ea65a6bb1,1e1abeb9-b66e-4a86-ac3e-ee2b4045b921
159796e2-ebf8-4526-b882-dfbecab02f1b,f5d42473-c26f-4ed6-8cf1-8d7677a8d5a6,559f089b-f8dc-48ef-befb-0415845f38e8
38664d73-696d-4540-83ed-c4cc4c650293,83feb523-79d6-4935-9c56-1e52ccd81d9f,cdce9877-3bed-4647-8c5d-9fe3517447f8
8d2e4b9b-132d-4de6-94b8-e2f8d3c08dca,e7eee2bd-b029-4b4a-87bf-beff551ab6d8,559f089b-f8dc-48ef-befb-0415845f38e8
8822d9b2-09ce-418d-b348-05350f2b1fa0,d4059290-126b-493d-b328-a75066f5dc95,cdce9877-3bed-4647-8c5d-9fe3517447f8
7957bef3-1fe0-4863-9720-eb3f4adaac3f,8b28a171-28ba-435e-9dab-a50d63fe924b,bc2aee2c-e18e-4a6a-beca-6331b29b67b1
ec78498a-3ae0-4089-b4e0-cdccdb864d85,6f977187-cd45-4bfc-94a6-42bf8aa9f301,1e1abeb9-b66e-4a86-ac3e-ee2b4045b921
23703728-939e-4535-b418-1abd097bdc1e,77909850-0127-4954-a096-3802b76e7084,1e1abeb9-b66e-4a86-ac3e-ee2b4045b921
a4ff3dc9-7713-4a77-b565-5f5f50f53e4d,b838a47b-9b31-4c0f-882e-5ed3f3c54789,559f089b-f8dc-48ef-befb-0415845f38e8
7487e914-0f93-4806-9632-b08b97bf753b,4a34c0d1-9761-4b03-b145-6fb2b77b4eb2,559f089b-f8dc-48ef-befb-0415845f38e8
